alt,en,es
🇦🇨,Ascension Island,isla Ascencion
🇦🇩,Andorra,Andorra
🇦🇪,United Arab Emirates,Emiratos Árabes Unidos
🇦🇫,Afghanistan,Afganistán
🇦🇬,Antigua & Barbuda,Antigua y Barbuda
🇦🇮,Anguilla,Anguila
🇦🇱,Albania,Albania
🇦🇲,Armenia,Armenia
🇦🇴,Angola,Angola
🇦🇶,Antarctica,Antártida
🇦🇷,Argentina,Argentina
🇦🇸,American Samoa,Samoa Americana
🇦🇹,Austria,Austria
🇦🇺,Australia,Australia
🇦🇼,Aruba,Aruba
🇦🇽,Åland Islands,Islas Aland
🇦🇿,Azerbaijan,Azerbaiyán
🇧🇦,Bosnia & Herzegovina,Bosnia y Herzegovina
🇧🇧,Barbados,Barbados
🇧🇩,Bangladesh,Bangladesh
🇧🇪,Belgium,Bélgica
🇧🇫,Burkina Faso,Burkina Faso
🇧🇬,Bulgaria,Bulgaria
🇧🇭,Bahrain,Bahrein
🇧🇮,Burundi,Burundi
🇧🇯,Benin,Benín
🇧🇱,St. Barthélemy,San Bartolomé
🇧🇲,Bermuda,islas Bermudas
🇧🇳,Brunei,Brunei
🇧🇴,Bolivia,Bolivia
🇧🇶,Caribbean Netherlands,Caribe Países Bajos
🇧🇷,Brazil,Brasil
🇧🇸,Bahamas,Bahamas
🇧🇹,Bhutan,Bhután
🇧🇻,Bouvet Island,Isla Bouvet
🇧🇼,Botswana,Botswana
🇧🇾,Belarus,Belarús
🇧🇿,Belize,Belice
🇨🇦,Canada,Canadá
🇨🇨,Cocos (Keeling) Islands,Islas Cocos (Keeling)
🇨🇩,Congo - Kinshasa,Congo - Kinshasa
🇨🇫,Central African Republic,República Centroafricana
🇨🇬,Congo - Brazzaville,Congo - Brazzaville
🇨🇭,Switzerland,Suiza
🇨🇮,Côte d’Ivoire,Côte d'Ivoire
🇨🇰,Cook Islands,Islas Cook
🇨🇱,Chile,Chile
🇨🇲,Cameroon,Camerún
🇨🇳,China,China
🇨🇴,Colombia,Colombia
🇨🇵,Clipperton Island,Isla Clipperton
